,0
115,-5.38176341561048
116,-5.046428596282555
117,-4.882177326204509
118,-4.2900722040966865
119,-5.010467136180904
120,-4.721572190346132
121,-5.4553494304596635
122,-3.906973863048137
123,-4.079799981039369
124,-4.925042152184111
125,-5.23265353462358
126,-4.843257470248473
127,-5.749862655826654
128,-5.356922566317991
129,-4.246511367174066
130,-5.011610743985259
131,-4.460999376395048
132,-4.601613756319175
133,-5.32306924765487
134,-5.482792435189611
135,-4.866182924252789
136,-5.5213731654478035
137,-5.008537884665188
138,-4.315803474088156
139,-4.997622141235525
140,-4.6208615757720874
141,-4.751783585837787
142,-5.239483232585201
143,-5.50768211671015
144,-4.280631005016029
145,-4.857212515266453
146,-4.821760537330095
147,-4.874373364427771
148,-5.135251055221149
149,-4.693965919345275
150,-5.000692919560247
151,-4.782845101502624
152,-4.660089412702737
153,-4.768913174917154
154,-5.184846861950214
155,-4.126554604857845
156,-3.891375482316248
157,-5.600302046533575
158,-4.776204680053525
159,-3.9246492708471195
160,-4.586191751358614
161,-4.6604201160812675
162,-4.874249844699209
163,-4.994910976264959
164,-4.925349757713637
165,-5.032777973447874
166,-4.413646030379006
167,-5.223509009265052
168,-5.479845733827627
169,-4.932329955385813
170,-3.757533156922131
171,-4.500728781893621
172,-4.47263803537089
173,-5.590106718652267
174,-4.9400303414219975
175,-4.362983565400028
176,-4.913907330569903
177,-5.30162658429673
178,-4.811874880823506
179,-4.721274289772396
180,-6.243511782705364
181,-5.006700158037761
182,-4.221977392913325
183,-4.386705784143089
184,-3.981541748457727
185,-4.821663160691557
186,-5.017536541164517
187,-3.699576815071662
188,-4.1395473742562165
189,-3.636599296191012
190,-4.714367690516867
191,-5.088242382939424
192,-5.647421429250799
193,-5.078623575953784
194,-4.151813515408057
195,-4.176821735464126
196,-4.524365827496128
197,-4.540786878436084
198,-4.707794914615778
199,-4.659376266159308
200,-4.6346440980687476
201,-4.800947533453095
202,-4.770044020545643
203,-4.50461946974036
204,-4.728466520682095
205,-3.4371382186711776
206,-4.725368476096393
207,-4.870711539804718
208,-4.527863483481904
209,-4.557619627282302
210,-4.689847779586318
211,-5.308797899016576
212,-4.862289770758762
213,-4.974357021524025
214,-4.713469164008977
215,-4.296470481296074
216,-5.006561903442566
217,-3.988023984293342
218,-3.67260071332185
219,-5.19038285064411
220,-3.3080373870579796
221,-4.6048689232589055
222,-5.788085980667104
223,-4.590862592016485
224,-5.839728886447588
225,-3.595001253211084
226,-4.2251818606934535
227,-4.458058050066011
228,-4.1690800868487505
229,-5.327262960901095
230,-4.797388766023028
231,-3.8726817883700844
232,-3.766816529884651
233,-4.3364290691920075
234,-3.861887443799637
235,-3.9487068761004718
236,-4.241022711711748
237,-5.856058270495489
238,-4.081025287696855
239,-3.2519447283107397
240,-4.0714796742794075
241,-5.04825367341345
242,-4.736825610409174
243,-4.94701138915557
244,-4.723823613293049
245,-5.009728725866067
246,-4.767415432601355
247,-4.970265066839999
248,-5.637617911176751
249,-5.513779797085817
250,-4.235079733429358
251,-4.478498860005902
252,-4.528269435909362
253,-5.554344055809676
254,-5.3209037613345815
255,-5.281678150279244
